user_idx,item_idx
877,930
13203,930
10803,930
17519,930
15492,930
29581,930
5601,930
36977,930
36977,930
5570,930
6587,930
10874,930
28059,930
36967,930
4862,930
33916,930
259,930
36990,930
36990,930
18543,930
5570,930
26711,930
30948,930
36990,930
28186,930
4201,930
20705,930
1904,930
11279,930
13262,930
6957,930
1215,930
18784,930
13059,930
13059,930
22938,930
32181,930
13989,930
34782,930
15823,930
12548,817
1793,817
34769,817
10880,817
36042,817
13258,817
26048,817
681,817
25288,817
13927,817
14383,817
32873,817
30666,817
37433,817
11059,817
17237,817
21838,817
12359,817
5216,817
10545,817
21536,817
30712,817
29608,817
3694,817
14344,817
32137,817
27568,817
20653,49
28997,49
24640,49
30854,49
17368,49
2820,49
25913,49
30345,49
1953,49
15794,49
7639,49
24120,49
21033,49
12438,49
3086,49
27320,49
32896,49
18771,49
12729,49
9744,49
24313,49
1706,49
28887,49
22018,49
29031,49
17788,49
6589,49
26935,49
19650,49
30672,49
8092,49
17659,49
7171,49
31653,49
21810,49
8046,49
13761,49
7086,49
6169,49
12417,49
25423,49
18132,49
28344,49
8559,49
3544,49
19180,49
6958,49
11106,49
30337,49
6284,49
28255,49
3867,49
24740,49
25369,49
9471,146
15830,146
521,146
8686,146
14703,146
2916,146
4530,146
24874,146
15399,146
1684,146
13766,146
3299,146
16175,146
30153,146
25814,146
25830,146
18019,146
10813,146
11650,146
20817,146
8075,146
23731,146
4502,146
4433,146
12887,146
14443,423
11258,423
12437,423
17986,423
19483,423
25833,423
8277,423
11996,423
27878,423
29617,423
4585,423
1278,423
11031,423
5212,423
1064,423
18241,423
9540,423
20388,423
34539,423
19988,423
22351,423
25230,423
15589,423
25117,423
3783,423
28319,423
36779,423
2936,423
35074,423
226,423
13720,423
6233,423
28466,423
33684,423
8426,423
36532,423
12459,423
24457,423
34759,423
15320,423
22556,423
32354,423
31447,423
7305,423
20122,423
25700,423
12903,1060
27124,1060
15908,1060
38020,1060
12130,1060
13006,1060
35051,1060
33327,1060
10739,1060
37208,1060
24759,1060
25736,1060
13808,1060
37245,1060
13808,1060
25736,1060
26701,1060
36631,1060
15630,1060
4535,1060
37999,1060
33760,1060
19931,1060
7125,1060
25327,1060
10578,1060
10726,1060
37618,1060
4184,1060
5001,1060
35685,1060
35685,1060
13818,1060
36645,1060
10976,1060
16011,1060
10115,1060
10459,1060
36126,1060
25195,1060
33838,1060
15920,1060
25715,1060
32588,1060
31360,470
20437,470
11940,470
19897,470
19731,470
24491,470
6166,470
31767,470
2889,470
10488,470
36560,470
36725,470
3375,470
1114,470
6857,470
19552,470
26146,470
9666,470
1722,470
15692,470
14918,470
29058,470
34654,470
11110,470
28479,470
8713,470
35704,470
27198,470
32766,470
20152,470
15743,470
26981,470
23164,470
24726,470
17043,470
7607,470
5197,470
31563,470
28066,470
29190,470
12280,664
28088,664
6166,664
10399,664
3144,664
36463,664
24528,664
26987,664
19998,664
36537,664
4660,664
7708,664
19319,664
31313,664
21477,664
13299,664
1953,664
12082,664
18313,664
18836,664
9276,664
17830,664
27913,664
16726,664
33711,664
18339,664
5306,664
36383,664
18649,664
301,664
26744,664
23710,664
3254,664
932,664
29692,664
36209,664
21655,664
24546,664
2024,664
19270,664
15366,664
20918,664
22986,664
22018,664
30650,664
3014,664
10330,664
28374,664
17519,664
35034,664
21251,664
34727,664
17612,664
1371,664
26197,664
24665,664
33498,664
28349,664
22741,664
20520,664
24208,664
7647,664
8078,664
26819,664
32147,664
2055,664
13144,664
2544,664
5414,664
2274,664
27023,664
10210,664
24885,664
25169,664
9146,664
34782,664
8175,664
8228,664
37411,664
18902,664
6990,664
5330,664
8388,664
8388,664
13761,664
28424,664
17903,664
3637,664
25621,664
6215,664
4231,384
