user_idx,item_idx
23897,48
28620,48
16571,48
11236,48
21621,48
8570,48
21359,48
1504,48
25188,48
19371,48
25312,48
15718,48
13370,48
5813,48
23563,48
17321,48
26718,48
7143,48
15606,48
6348,48
27578,48
19192,48
7103,48
12141,48
6274,48
5452,48
10958,48
22301,48
16014,48
18708,48
24747,48
7541,48
3140,48
16922,48
6155,48
9809,48
26432,48
23937,48
9844,48
5559,48
24674,48
3418,48
26725,48
21714,48
27954,48
22252,48
8330,145
2931,145
13971,145
466,145
7649,145
12977,145
180,145
2579,145
4010,145
21820,145
13583,145
2248,145
1485,145
12146,145
775,145
2923,145
14294,145
26268,145
22623,145
13191,145
4722,145
20943,145
22640,145
15913,145
9542,145
10285,145
18348,145
7128,145
20853,145
3982,145
3925,145
11381,145
12734,421
9946,421
647,421
10977,421
15884,421
17175,421
22641,421
7301,421
10588,421
24356,421
25811,421
17338,421
4055,421
1138,421
9742,421
4615,421
947,421
16111,421
8391,421
17964,421
29978,421
17612,421
19665,421
5837,421
22135,421
13758,421
22034,421
3347,421
24728,421
31821,421
2597,421
30423,421
30423,421
2317,421
13071,421
204,421
12104,421
16551,421
5514,421
24851,421
24078,421
29256,421
7223,421
7424,421
31607,421
11000,421
21480,421
30160,421
21171,421
13520,421
19840,421
28171,421
5675,421
27394,421
6455,421
19056,421
17730,421
22531,421
11394,1051
23730,1051
14047,1051
32552,1051
10702,1051
11485,1051
30401,1051
28966,1051
9478,1051
26843,1051
32172,1051
29378,1051
21729,1051
22560,1051
32203,1051
21729,1051
12182,1051
32203,1051
12182,1051
22560,1051
29196,1051
23370,1051
31693,1051
13796,1051
32547,1051
4015,1051
32548,1051
19006,1051
29317,1051
17564,1051
6307,1051
22217,1051
9329,1051
9467,1051
32469,1051
3700,1051
4423,1051
30916,1051
30916,1051
12192,1051
19712,1051
31704,1051
9692,1051
14144,1051
8898,1051
22660,1051
9220,1051
31277,1051
22106,1051
32105,1051
29388,1051
14057,1051
21116,1051
22543,1051
28367,1051
27319,464
18006,464
10538,464
17534,464
17388,464
21512,464
5449,464
27673,464
2557,464
6411,464
9247,464
32041,464
31632,464
31776,464
2990,464
993,464
6062,464
17238,464
22904,464
8501,464
1515,464
13853,464
7266,464
13165,464
25332,464
5971,464
32004,464
30072,464
9812,464
24860,464
7674,464
21951,464
30928,464
23791,464
28519,464
17756,464
13895,464
23604,464
20347,464
1540,464
21701,464
28517,464
15058,464
6721,464
4600,464
27499,464
27499,464
25504,464
24509,464
25442,464
10839,657
24526,657
5449,657
27027,657
1437,657
9165,657
2781,657
31546,657
21783,657
21539,657
23609,657
17623,657
31611,657
4122,657
6807,657
17036,657
3541,657
27277,657
26747,657
18903,657
11744,657
1719,657
10661,657
16180,657
26540,657
16627,657
8163,657
21566,657
15751,657
24387,657
14793,657
29279,657
16202,657
4694,657
24044,657
31479,657
9295,657
16464,657
271,657
23405,657
20834,657
2882,657
831,657
25869,657
31632,657
31344,657
22372,657
19063,657
21556,657
1784,657
16999,657
31255,657
13555,657
17916,657
18430,657
20201,657
19371,657
26698,657
2672,657
9101,657
1765,657
24769,657
16548,657
15485,657
30388,657
18933,657
18708,657
30131,657
15561,657
1221,657
16671,657
22947,657
30717,657
21656,657
29109,657
9844,657
24751,657
19999,657
18079,657
21260,657
6757,657
7130,657
23466,657
27991,657
1813,657
11610,657
2255,657
4791,657
2002,657
28184,657
23636,657
8980,657
21827,657
22082,657
8054,657
30179,657
16177,657
7218,657
7260,657
32332,657
16690,657
6183,657
4717,657
7392,657
7392,657
12141,657
27092,657
24814,657
15811,657
24104,657
3220,657
22470,657
5496,657
3746,382
4180,382
29667,382
28647,382
16714,382
21580,382
20595,382
11236,382
3755,382
23634,382
4722,382
1304,382
27655,382
26540,382
25219,382
30729,382
25219,382
27932,382
29770,382
31092,382
3050,382
5504,382
8454,382
30195,382
24918,382
31204,382
1861,382
19098,382
8440,382
13024,382
14901,382
21801,382
24434,382
19063,382
26301,382
28910,382
22017,382
5096,382
18046,382
22386,382
18463,382
6691,382
23644,382
2997,382
31681,382
7012,382
18043,382
31959,382
29469,382
1968,382
23892,382
26134,382
10762,382
4453,382
6506,382
4759,382
24891,382
21396,382
19168,382
4740,382
25470,382
24411,382
31005,382
23688,382
31430,382
786,382
21397,382
26524,382
6703,382
16874,382
5429,382
27665,382
21349,382
20809,382
3955,382
31971,382
3387,382
16688,382
23779,382
18151,250
13880,250
31672,250
14730,250
25944,250
30379,250
17717,250
15953,250
10016,250
15872,250
16993,250
30373,250
28992,250
17717,250
10295,250
24753,250
19586,250
25177,250
25900,250
1055,250
10980,250
16969,250
21077,250
1800,250
26269,250
14008,250
8704,250
94,250
19027,250
20056,250
18982,250
13505,250
15262,250
17690,250
7485,250
3494,250
9432,250
21537,250
9294,250
6407,250
3604,55
972,55
4949,55
10353,55
18524,55
13130,55
5472,55
2650,55
6711,55
1120,55
22299,55
1305,55
22082,55
2024,55
21388,55
21954,55
10417,55
16774,55
7994,55
15654,55
24523,55
22221,55
26723,55
23533,55
25914,55
15275,55
21096,55
8909,55
22460,55
8430,55
25977,55
26678,55
25307,55
2278,55
21834,55
24396,55
9820,55
15187,55
8259,55
1732,55
17787,55
24928,55
7014,55
21779,55
18899,55
20442,55
24769,55
18253,55
6299,55
4397,55
4249,55
18768,55
21160,55
7043,55
996,44
6073,44
18331,44
6411,44
16009,44
27517,44
12338,44
6769,44
23918,44
23918,44
24708,44
19912,44
20764,44
20697,44
7026,44
15119,44
13140,297
26594,297
26594,297
20495,297
31594,297
27919,297
31594,297
13140,297
13991,297
19129,297
7840,297
25835,297
7840,297
18533,297
19129,297
25835,297
18735,297
20139,297
31137,297
14121,297
18533,297
31137,297
14121,297
20125,297
1682,297
9313,297
23229,297
13461,297
9313,297
27952,297
13461,297
27952,297
14000,297
13725,297
22343,297
8001,297
28964,297
30446,297
24492,297
31550,297
27196,297
18628,297
940,297
940,297
18870,297
22343,297
19637,297
24369,297
24369,297
21643,297
22337,297
29766,297
13991,297
19471,297
22123,297
11109,297
20151,297
21485,297
30860,297
11109,297
18605,297
21485,297
8008,297
19637,297
18605,297
9978,297
25187,297
19029,297
12546,297
23664,297
19029,297
23664,297
31000,297
12546,297
31000,297
28759,297
14435,297
14359,678
29598,678
24568,678
14834,678
9290,678
30792,678
31567,678
30918,678
6749,678
32035,678
22003,678
30918,678
27958,678
11405,678
6749,678
6749,678
6899,678
25201,678
20216,678
25815,678
25299,678
27975,678
