user_id,user_idx
13423502,510
13450262,511
13461662,512
13493142,513
13502522,514
13514362,515
13602422,516
13634122,517
13651772,518
13682662,519
13689402,520
13706042,521
13789392,522
13821862,523
13846392,524
13872272,525
13879842,526
13885722,527
13962772,528
13963452,529
13964572,530
13988232,531
14027452,532
14050854,533
14051638,534
14058842,535
14064804,536
14066645,537
14066928,538
14071491,539
14072510,540
14073125,541
14075195,542
14075681,543
14079425,544
14080610,545
14081528,546
14085367,547
14086059,548
14088487,549
14089104,550
14090873,551
14090948,552
14092606,553
14095270,554
14096763,555
14097951,556
14098607,557
14101213,558
14101483,559
14101944,560
14103189,561
14105452,562
14108442,563
14110996,564
14111592,565
14114254,566
14115690,567
14117843,568
14118094,569
14120411,570
14125161,571
14126362,572
14137126,573
14145626,574
14156466,575
14166714,576
14168372,577
14175873,578
14183902,579
14186393,580
14190948,581
14191254,582
14194387,583
14194635,584
14196938,585
14200742,586
14203060,587
14206581,588
14207711,589
14208586,590
14210108,591
14215526,592
14216654,593
14217979,594
14219782,595
14221035,596
14221045,597
14223898,598
14223960,599
14227485,600
14228645,601
14232701,602
14233285,603
14233941,604
14235543,605
14235863,606
14238620,607
14241527,608
14242376,609
14243746,610
14246943,611
14247924,612
14249498,613
14253476,614
14253694,615
14256294,616
14257988,617
14258863,618
14259241,619
14260501,620
14261543,621
14262411,622
14263421,623
14265112,624
14265924,625
14268812,626
14269220,627
14271409,628
14274721,629
14277681,630
14281632,631
14287455,632
14293310,633
14298247,634
14299285,635
14301652,636
14302541,637
14303901,638
14304462,639
14305940,640
14306228,641
14311701,642
14316190,643
14328684,644
14336645,645
14337045,646
14337311,647
14338267,648
14342602,649
14346341,650
14346779,651
14347014,652
14354042,653
14358751,654
14360516,655
14362949,656
14363793,657
14366045,658
14367333,659
14371442,660
14371600,661
14373462,662
14374561,663
14379164,664
14382167,665
14385043,666
14385895,667
14388935,668
14397992,669
14401607,670
14426487,671
14427344,672
14427880,673
14428289,674
14437621,675
14440418,676
14441334,677
14442100,678
14454814,679
14464961,680
14469996,681
14477698,682
14479957,683
14482759,684
14485322,685
14493067,686
14495726,687
14503096,688
14504418,689
14507734,690
14514703,691
14515799,692
14516529,693
14520714,694
14520859,695
14523404,696
14526093,697
14526127,698
14527164,699
14533559,700
14533800,701
14536559,702
14542343,703
14542355,704
14546753,705
14548505,706
14548676,707
14549776,708
14551462,709
14552998,710
14558240,711
14559196,712
14560097,713
14563376,714
14565624,715
14570183,716
14574697,717
14577046,718
14577821,719
14578564,720
14579229,721
14586689,722
14589287,723
14592411,724
14594816,725
14595811,726
14600722,727
14602346,728
14603989,729
14606196,730
14606276,731
14607224,732
14608051,733
14609104,734
14609188,735
14609435,736
14610057,737
14610736,738
14610750,739
14612713,740
14616338,741
